Class,Disease Count,Average Confidence,Confidence Range,Percentage Share (%),False Positives,False Negatives
Healthy,349,0.8375390633129459,[0.50 - 0.98],28.236245954692556,0,0
Tomato Yellow Leaf Curl Virus,62,0.8886961821586855,[0.53 - 0.98],5.016181229773463,0,0
Spider Mites,140,0.8492100996630533,[0.50 - 0.97],11.326860841423949,0,0
Tomato Mosaic Virus,60,0.8433852006991704,[0.52 - 0.96],4.854368932038835,0,0
Leaf Mold,74,0.8601453827845084,[0.51 - 0.98],5.9870550161812295,0,0
Early Blight,79,0.890870300274861,[0.52 - 0.98],6.3915857605178,0,0
Late Blight,325,0.8688720404184782,[0.51 - 0.98],26.294498381877023,0,0
Septoria Leaf Spot,90,0.900652880138821,[0.51 - 0.98],7.281553398058252,0,0
Target Spot,57,0.8971333597835741,[0.55 - 0.97],4.611650485436893,0,0
